tiempo,frac_inf_acum,frac_inf_act
36,0.01,0.01
72,0.01,0.01
108,0.01,0.01
144,0.01,0.01
180,0.01,0.01
216,0.01,0.01
252,0.01,0.01
288,0.01,0.01
324,0.01,0.01
360,0.01,0.01
396,0.01,0.01
432,0.01,0.01
468,0.01,0.01
504,0.01,0.01
540,0.01,0.01
576,0.01,0.01
612,0.01,0.01
648,0.01,0.01
684,0.01,0.01
720,0.01,0.01
756,0.01,0.01
792,0.01,0.01
828,0.01,0.01
864,0.01,0.01
900,0.01,0.01
936,0.01,0.01
972,0.01,0.01
1008,0.01,0.01
1044,0.01,0.01
1080,0.01,0.01
1116,0.01,0.01
1152,0.01,0.01
1188,0.01,0.01
1224,0.01,0.01
1260,0.01,0.01
1296,0.01,0.01
1332,0.01,0.01
1368,0.01,0.01
1404,0.01,0.01
1440,0.01,0.01
1476,0.01,0.01
1512,0.01,0.01
1548,0.01,0.01
1584,0.01,0.01
1620,0.01,0.01
1656,0.01,0.01
1692,0.01,0.01
1728,0.01,0.01
1764,0.01,0.01
1800,0.01,0.01
1836,0.01,0.01
1872,0.01,0.01
1908,0.01,0.01
1944,0.01,0.01
1980,0.01,0.01
2016,0.01,0.01
2052,0.01,0.01
2088,0.01,0.01
2124,0.01,0.01
2160,0.01,0.01
2196,0.01,0.01
2232,0.01,0.01
2268,0.01,0.01
2304,0.01,0.01
2340,0.01,0.01
2376,0.01,0.01
2412,0.01,0.01
2448,0.01,0.01
2484,0.01,0.01
2520,0.01,0.01
2556,0.01,0.01
2592,0.01,0.01
2628,0.01,0.01
2664,0.01,0.01
2700,0.01,0.01
2736,0.01,0.01
2772,0.01,0.01
2808,0.01,0.01
2844,0.01,0.01
2880,0.01,0.01
2916,0.01,0.01
2952,0.01,0.01
2988,0.01,0.01
3024,0.01,0.01
3060,0.01,0.01
3096,0.01,0.01
3132,0.01,0.01
3168,0.01,0.01
3204,0.01,0.01
3240,0.01,0.01
3276,0.01,0.01
3312,0.01,0.01
3348,0.01,0.01
3384,0.01,0.01
3420,0.01,0.01
3456,0.01,0.01
3492,0.01,0.01
3528,0.01,0.01
3564,0.01,0.01
3600,0.01,0.01
3636,0.01,0.01
3672,0.01,0.01
3708,0.01,0.01
3744,0.01,0.01
3780,0.01,0.01
3816,0.01,0.01
3852,0.01,0.01
3888,0.01,0.01
3924,0.01,0.01
3960,0.01,0.01
3996,0.01,0.01
4032,0.01,0.01
4068,0.01,0.01
4104,0.01,0.01
4140,0.01,0.01
4176,0.01,0.01
4212,0.01,0.01
4248,0.01,0.01
4284,0.01,0.01
4320,0.01,0.01
4356,0.01,0.01
4392,0.01,0.01
4428,0.01,0.01
4464,0.01,0.01
4500,0.01,0.01
4536,0.01,0.01
4572,0.01,0.01
4608,0.01,0.01
4644,0.01,0.01
4680,0.01,0.01
4716,0.01,0.01
4752,0.01,0.01
4788,0.01,0.01
4824,0.01,0.01
4860,0.01,0.01
4896,0.01,0.01
4932,0.01,0.01
4968,0.01,0.01
5004,0.01,0.01
5040,0.01,0.01
5076,0.01,0.01
5112,0.01,0.01
5148,0.01,0.01
5184,0.01,0.01
5220,0.01,0.01
5256,0.01,0.01
5292,0.01,0.01
5328,0.01,0.01
5364,0.01,0.01
5400,0.01,0.01
5436,0.01,0.01
5472,0.01,0.01
5508,0.01,0.01
5544,0.01,0.01
5580,0.01,0.01
5616,0.01,0.01
5652,0.01,0.01
5688,0.01,0.01
5724,0.01,0.01
5760,0.01,0.01
5796,0.01,0.01
5832,0.01,0.01
5868,0.01,0.01
5904,0.01,0.01
5940,0.01,0.01
5976,0.01,0.01
6012,0.01,0.01
6048,0.01,0.01
6084,0.01,0.01
6120,0.01,0.01
6156,0.01,0.01
6192,0.01,0.01
6228,0.01,0.01
6264,0.01,0.01
6300,0.01,0.01
6336,0.01,0.01
6372,0.01,0.01
6408,0.01,0.01
6444,0.01,0.01
6480,0.01,0.01
6516,0.01,0.01
6552,0.01,0.01
6588,0.01,0.01
6624,0.01,0.01
6660,0.01,0.01
6696,0.01,0.01
6732,0.01,0.01
6768,0.01,0.01
6804,0.01,0.01
6840,0.01,0.01
6876,0.01,0.01
6912,0.01,0.01
6948,0.01,0.01
6984,0.01,0.01
7020,0.01,0.01
7056,0.01,0.01
7092,0.01,0.01
7128,0.01,0.01
7164,0.01,0.01
7200,0.01,0.01
7236,0.01,0.01
7272,0.01,0.01
7308,0.01,0.01
7344,0.01,0.01
7380,0.01,0.01
7416,0.01,0.01
7452,0.01,0.01
7488,0.01,0.01
7524,0.01,0.01
7560,0.01,0.01
7596,0.01,0.01
7632,0.01,0.01
7668,0.01,0.01
7704,0.01,0.01
7740,0.01,0.01
7776,0.01,0.01
7812,0.01,0.01
7848,0.01,0.01
7884,0.01,0.01
7920,0.01,0.01
7956,0.01,0.01
7992,0.01,0.01
8028,0.01,0.01
8064,0.01,0.01
8100,0.01,0.01
8136,0.01,0.01
8172,0.01,0.01
8208,0.01,0.01
8244,0.01,0.01
8280,0.01,0.01
8316,0.01,0.01
8352,0.01,0.01
8388,0.01,0.01
8424,0.01,0.01
8460,0.01,0.01
8496,0.01,0.01
8532,0.01,0.01
8568,0.01,0.01
8604,0.01,0.01
8640,0.01,0.01
8676,0.01,0.01
8712,0.01,0.01
8748,0.01,0.01
8784,0.01,0.01
8820,0.01,0.01
